case,mode,seeds,mean_layer_ms,p95_layer_ms,mean_imbalance,layout_switches,weight_copies,flow_fallbacks
steady,uniform,3,4.024174382716049,4.1425,2.958130787037037,0.0,0.0,0.0
steady,static,3,1.5148283179012347,1.58,1.076121238425926,0.0,0.0,0.0
steady,dynamic,3,1.5148283179012347,1.58,1.076121238425926,0.0,0.0,0.0
shift,uniform,3,4.817856867283951,5.83,3.553392650462963,0.0,0.0,0.0
shift,static,3,2.9183391203703706,4.527916666666667,2.1287543402777778,0.0,0.0,0.0
shift,dynamic,3,1.691292438271605,2.2779166666666666,1.178052662037037,3.0,97.33333333333333,0.0
oscillate,uniform,3,4.811018518518519,5.809166666666667,3.5482638888888887,0.0,0.0,0.0
oscillate,static,3,2.910237268518519,4.510555555555555,2.122677951388889,0.0,0.0,0.0
oscillate,dynamic,3,1.9988811728395062,2.2848611111111112,1.3835358796296295,5.666666666666667,178.0,0.0
uniform,uniform,3,2.159301697530864,2.3369444444444447,1.5594762731481482,0.0,0.0,0.0
uniform,static,3,1.556948302469136,1.6494444444444445,1.1077112268518519,0.0,0.0,0.0
uniform,dynamic,3,1.556948302469136,1.6494444444444445,1.1077112268518519,0.0,0.0,0.0
scale_4,uniform,3,6.19069637345679,8.12861111111111,2.291511140046296,0.0,0.0,0.0
scale_4,static,3,4.031639660493828,5.420277777777778,1.481864872685185,0.0,0.0,0.0
scale_4,dynamic,3,3.003921682098765,3.9515277777777778,1.0908456307870371,2.6666666666666665,36.0,0.0
scale_16,uniform,3,5.16251350308642,6.802222222222222,7.62377025462963,0.0,0.0,0.0
scale_16,static,3,2.338179012345679,4.031388888888889,3.3872685185185185,0.0,0.0,0.0
scale_16,dynamic,3,1.0503587962962961,1.4793055555555557,1.3572048611111112,2.0,157.33333333333334,0.0
costly_shift,uniform,3,4.817856867283951,5.83,3.553392650462963,0.0,0.0,0.0
costly_shift,static,3,2.9183391203703706,4.527916666666667,2.1287543402777778,0.0,0.0,0.0
costly_shift,dynamic,3,1.937735339506173,4.277916666666666,1.273509837962963,1.0,38.333333333333336,0.0
