step,compute_ms,migration_ms,layer_ms,imbalance,tokens,max_device_tokens
0,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
1,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
2,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
3,3.98625,0.0,3.98625,2.9296875,1024,375
4,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
5,4.0175,0.0,4.0175,2.953125,1024,378
6,4.08,0.0,4.08,3.0,1024,384
7,4.0175,0.0,4.0175,2.953125,1024,378
8,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
9,3.955,0.0,3.955,2.90625,1024,372
10,4.04875,0.0,4.04875,2.9765625,1024,381
11,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
12,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
13,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
14,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
15,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
16,3.9445833333333336,0.0,3.9445833333333336,2.8984375,1024,371
17,4.1425,0.0,4.1425,3.046875,1024,390
18,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
19,3.955,0.0,3.955,2.90625,1024,372
20,3.955,0.0,3.955,2.90625,1024,372
21,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
22,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
23,3.92375,0.0,3.92375,2.8828125,1024,369
24,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
25,3.9029166666666666,0.0,3.9029166666666666,2.8671875,1024,367
26,4.152916666666667,0.0,4.152916666666667,3.0546875,1024,391
27,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
28,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
29,3.8820833333333336,0.0,3.8820833333333336,2.8515625,1024,365
30,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
31,4.04875,0.0,4.04875,2.9765625,1024,381
32,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
33,4.08,0.0,4.08,3.0,1024,384
34,4.08,0.0,4.08,3.0,1024,384
35,3.955,0.0,3.955,2.90625,1024,372
36,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
37,4.04875,0.0,4.04875,2.9765625,1024,381
38,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
39,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
40,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
41,4.11125,0.0,4.11125,3.0234375,1024,387
42,3.98625,0.0,3.98625,2.9296875,1024,375
43,4.0175,0.0,4.0175,2.953125,1024,378
44,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
45,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
46,4.163333333333333,0.0,4.163333333333333,3.0625,1024,392
47,4.11125,0.0,4.11125,3.0234375,1024,387
48,3.955,0.0,3.955,2.90625,1024,372
49,4.08,0.0,4.08,3.0,1024,384
50,3.98625,0.0,3.98625,2.9296875,1024,375
51,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
52,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
53,4.0175,0.0,4.0175,2.953125,1024,378
54,4.08,0.0,4.08,3.0,1024,384
55,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
