step,compute_ms,migration_ms,layer_ms,imbalance,tokens,max_device_tokens
0,3.955,0.0,3.955,2.90625,1024,372
1,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
2,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
3,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
4,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
5,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
6,3.98625,0.0,3.98625,2.9296875,1024,375
7,4.132083333333333,0.0,4.132083333333333,3.0390625,1024,389
8,4.194583333333333,0.0,4.194583333333333,3.0859375,1024,395
9,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
10,3.9133333333333336,0.0,3.9133333333333336,2.875,1024,368
11,4.152916666666667,0.0,4.152916666666667,3.0546875,1024,391
12,5.3925,0.0,5.3925,3.984375,1024,510
13,5.455,0.0,5.455,4.03125,1024,516
14,5.559166666666667,0.0,5.559166666666667,4.109375,1024,526
15,5.652916666666667,0.0,5.652916666666667,4.1796875,1024,535
16,5.684166666666667,0.0,5.684166666666667,4.203125,1024,538
17,5.455,0.0,5.455,4.03125,1024,516
18,5.715416666666667,0.0,5.715416666666667,4.2265625,1024,541
19,5.809166666666667,0.0,5.809166666666667,4.296875,1024,550
20,5.73625,0.0,5.73625,4.2421875,1024,543
21,5.777916666666667,0.0,5.777916666666667,4.2734375,1024,547
22,5.36125,0.0,5.36125,3.9609375,1024,507
23,5.475833333333333,0.0,5.475833333333333,4.046875,1024,518
24,4.04875,0.0,4.04875,2.9765625,1024,381
25,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
26,4.08,0.0,4.08,3.0,1024,384
27,4.08,0.0,4.08,3.0,1024,384
28,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
29,4.0175,0.0,4.0175,2.953125,1024,378
30,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
31,3.955,0.0,3.955,2.90625,1024,372
32,4.121666666666667,0.0,4.121666666666667,3.03125,1024,388
33,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
34,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
35,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
36,5.444583333333333,0.0,5.444583333333333,4.0234375,1024,515
37,5.455,0.0,5.455,4.03125,1024,516
38,5.455,0.0,5.455,4.03125,1024,516
39,5.527916666666667,0.0,5.527916666666667,4.0859375,1024,523
40,5.809166666666667,0.0,5.809166666666667,4.296875,1024,550
41,5.54875,0.0,5.54875,4.1015625,1024,525
42,5.92375,0.0,5.92375,4.3828125,1024,561
43,5.2675,0.0,5.2675,3.890625,1024,498
44,5.67375,0.0,5.67375,4.1953125,1024,537
45,5.590416666666667,0.0,5.590416666666667,4.1328125,1024,529
46,5.83,0.0,5.83,4.3125,1024,552
47,5.54875,0.0,5.54875,4.1015625,1024,525
48,3.955,0.0,3.955,2.90625,1024,372
49,3.9029166666666666,0.0,3.9029166666666666,2.8671875,1024,367
50,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
51,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
52,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
53,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
54,3.98625,0.0,3.98625,2.9296875,1024,375
55,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
56,4.08,0.0,4.08,3.0,1024,384
57,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
58,3.98625,0.0,3.98625,2.9296875,1024,375
59,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
60,5.434166666666667,0.0,5.434166666666667,4.015625,1024,514
61,5.632083333333333,0.0,5.632083333333333,4.1640625,1024,533
62,5.746666666666667,0.0,5.746666666666667,4.25,1024,544
63,5.590416666666667,0.0,5.590416666666667,4.1328125,1024,529
64,5.632083333333333,0.0,5.632083333333333,4.1640625,1024,533
65,5.621666666666667,0.0,5.621666666666667,4.15625,1024,532
66,5.67375,0.0,5.67375,4.1953125,1024,537
67,5.496666666666667,0.0,5.496666666666667,4.0625,1024,520
68,5.48625,0.0,5.48625,4.0546875,1024,519
69,5.6425,0.0,5.6425,4.171875,1024,534
70,5.725833333333333,0.0,5.725833333333333,4.234375,1024,542
71,5.7675,0.0,5.7675,4.265625,1024,546
72,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
73,3.86125,0.0,3.86125,2.8359375,1024,363
74,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
75,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
76,3.9133333333333336,0.0,3.9133333333333336,2.875,1024,368
77,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
78,4.0175,0.0,4.0175,2.953125,1024,378
79,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
80,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
81,4.08,0.0,4.08,3.0,1024,384
82,3.8925,0.0,3.8925,2.859375,1024,366
83,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
84,5.86125,0.0,5.86125,4.3359375,1024,555
85,5.809166666666667,0.0,5.809166666666667,4.296875,1024,550
86,5.444583333333333,0.0,5.444583333333333,4.0234375,1024,515
87,5.434166666666667,0.0,5.434166666666667,4.015625,1024,514
88,5.371666666666667,0.0,5.371666666666667,3.96875,1024,508
89,5.6425,0.0,5.6425,4.171875,1024,534
90,5.7675,0.0,5.7675,4.265625,1024,546
91,6.007083333333333,0.0,6.007083333333333,4.4453125,1024,569
92,5.538333333333333,0.0,5.538333333333333,4.09375,1024,524
93,5.79875,0.0,5.79875,4.2890625,1024,549
94,5.684166666666667,0.0,5.684166666666667,4.203125,1024,538
95,5.600833333333333,0.0,5.600833333333333,4.140625,1024,530
96,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
97,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
98,4.08,0.0,4.08,3.0,1024,384
99,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
100,3.8716666666666666,0.0,3.8716666666666666,2.84375,1024,364
101,3.98625,0.0,3.98625,2.9296875,1024,375
102,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
103,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
104,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
105,3.955,0.0,3.955,2.90625,1024,372
106,4.121666666666667,0.0,4.121666666666667,3.03125,1024,388
107,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
108,5.54875,0.0,5.54875,4.1015625,1024,525
109,5.465416666666667,0.0,5.465416666666667,4.0390625,1024,517
110,5.496666666666667,0.0,5.496666666666667,4.0625,1024,520
111,5.48625,0.0,5.48625,4.0546875,1024,519
112,5.465416666666667,0.0,5.465416666666667,4.0390625,1024,517
113,5.309166666666667,0.0,5.309166666666667,3.921875,1024,502
114,5.809166666666667,0.0,5.809166666666667,4.296875,1024,550
115,5.54875,0.0,5.54875,4.1015625,1024,525
116,5.61125,0.0,5.61125,4.1484375,1024,531
117,5.73625,0.0,5.73625,4.2421875,1024,543
118,5.705,0.0,5.705,4.21875,1024,540
119,5.455,0.0,5.455,4.03125,1024,516
120,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
121,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
122,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
123,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
124,4.1425,0.0,4.1425,3.046875,1024,390
125,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
126,4.08,0.0,4.08,3.0,1024,384
127,4.04875,0.0,4.04875,2.9765625,1024,381
128,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
129,3.98625,0.0,3.98625,2.9296875,1024,375
130,4.11125,0.0,4.11125,3.0234375,1024,387
131,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
132,5.850833333333333,0.0,5.850833333333333,4.328125,1024,554
133,5.632083333333333,0.0,5.632083333333333,4.1640625,1024,533
134,5.54875,0.0,5.54875,4.1015625,1024,525
135,5.600833333333333,0.0,5.600833333333333,4.140625,1024,530
136,5.663333333333333,0.0,5.663333333333333,4.1875,1024,536
137,5.444583333333333,0.0,5.444583333333333,4.0234375,1024,515
138,5.559166666666667,0.0,5.559166666666667,4.109375,1024,526
139,5.652916666666667,0.0,5.652916666666667,4.1796875,1024,535
140,5.705,0.0,5.705,4.21875,1024,540
141,5.496666666666667,0.0,5.496666666666667,4.0625,1024,520
142,5.6425,0.0,5.6425,4.171875,1024,534
143,5.809166666666667,0.0,5.809166666666667,4.296875,1024,550
144,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
145,3.955,0.0,3.955,2.90625,1024,372
146,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
147,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
148,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
149,3.98625,0.0,3.98625,2.9296875,1024,375
150,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
151,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
152,3.955,0.0,3.955,2.90625,1024,372
153,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
154,4.1425,0.0,4.1425,3.046875,1024,390
155,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
156,5.621666666666667,0.0,5.621666666666667,4.15625,1024,532
157,5.559166666666667,0.0,5.559166666666667,4.109375,1024,526
158,5.996666666666667,0.0,5.996666666666667,4.4375,1024,568
159,5.309166666666667,0.0,5.309166666666667,3.921875,1024,502
160,5.5175,0.0,5.5175,4.078125,1024,522
161,5.215416666666667,0.0,5.215416666666667,3.8515625,1024,493
162,5.5175,0.0,5.5175,4.078125,1024,522
163,5.507083333333333,0.0,5.507083333333333,4.0703125,1024,521
164,5.590416666666667,0.0,5.590416666666667,4.1328125,1024,529
165,5.5175,0.0,5.5175,4.078125,1024,522
166,5.850833333333333,0.0,5.850833333333333,4.328125,1024,554
167,5.350833333333333,0.0,5.350833333333333,3.953125,1024,506
168,3.98625,0.0,3.98625,2.9296875,1024,375
169,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
170,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
171,3.98625,0.0,3.98625,2.9296875,1024,375
172,4.04875,0.0,4.04875,2.9765625,1024,381
173,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
174,3.8925,0.0,3.8925,2.859375,1024,366
175,4.2675,0.0,4.2675,3.140625,1024,402
176,4.04875,0.0,4.04875,2.9765625,1024,381
177,3.98625,0.0,3.98625,2.9296875,1024,375
178,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
179,3.9445833333333336,0.0,3.9445833333333336,2.8984375,1024,371
180,5.42375,0.0,5.42375,4.0078125,1024,513
181,6.069583333333333,0.0,6.069583333333333,4.4921875,1024,575
182,6.0175,0.0,6.0175,4.453125,1024,570
183,5.632083333333333,0.0,5.632083333333333,4.1640625,1024,533
184,5.3925,0.0,5.3925,3.984375,1024,510
185,5.475833333333333,0.0,5.475833333333333,4.046875,1024,518
186,5.86125,0.0,5.86125,4.3359375,1024,555
187,5.58,0.0,5.58,4.125,1024,528
188,5.5175,0.0,5.5175,4.078125,1024,522
189,5.413333333333333,0.0,5.413333333333333,4.0,1024,512
190,5.277916666666667,0.0,5.277916666666667,3.8984375,1024,499
191,5.73625,0.0,5.73625,4.2421875,1024,543
192,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
193,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
194,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
195,4.04875,0.0,4.04875,2.9765625,1024,381
196,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
197,3.98625,0.0,3.98625,2.9296875,1024,375
198,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
199,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
200,4.0175,0.0,4.0175,2.953125,1024,378
201,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
202,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
203,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
204,5.507083333333333,0.0,5.507083333333333,4.0703125,1024,521
205,5.538333333333333,0.0,5.538333333333333,4.09375,1024,524
206,5.73625,0.0,5.73625,4.2421875,1024,543
207,5.757083333333333,0.0,5.757083333333333,4.2578125,1024,545
208,5.788333333333333,0.0,5.788333333333333,4.28125,1024,548
209,5.319583333333333,0.0,5.319583333333333,3.9296875,1024,503
210,5.569583333333333,0.0,5.569583333333333,4.1171875,1024,527
211,5.444583333333333,0.0,5.444583333333333,4.0234375,1024,515
212,5.777916666666667,0.0,5.777916666666667,4.2734375,1024,547
213,5.684166666666667,0.0,5.684166666666667,4.203125,1024,538
214,5.757083333333333,0.0,5.757083333333333,4.2578125,1024,545
215,5.694583333333333,0.0,5.694583333333333,4.2109375,1024,539
216,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
217,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
218,3.9445833333333336,0.0,3.9445833333333336,2.8984375,1024,371
219,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
220,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
221,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
222,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
223,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
224,4.11125,0.0,4.11125,3.0234375,1024,387
225,4.0175,0.0,4.0175,2.953125,1024,378
