step,compute_ms,migration_ms,layer_ms,imbalance,tokens,max_device_tokens
0,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
1,1.5175,0.0,1.5175,1.078125,1024,138
2,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
3,1.5695833333333333,0.0,1.5695833333333333,1.1171875,1024,143
4,1.48625,0.0,1.48625,1.0546875,1024,135
5,1.48625,0.0,1.48625,1.0546875,1024,135
6,1.5175,0.0,1.5175,1.078125,1024,138
7,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
8,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
9,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
10,1.5175,0.0,1.5175,1.078125,1024,138
11,1.4654166666666668,0.0,1.4654166666666668,1.0390625,1024,133
12,4.257083333333333,0.0,4.257083333333333,3.1328125,1024,401
13,4.3925,0.0,4.3925,3.234375,1024,414
14,4.11125,0.0,4.11125,3.0234375,1024,387
15,4.29875,0.0,4.29875,3.1640625,1024,405
16,4.163333333333333,0.0,4.163333333333333,3.0625,1024,392
17,4.225833333333333,0.0,4.225833333333333,3.109375,1024,398
18,4.2675,0.0,4.2675,3.140625,1024,402
19,4.319583333333333,0.0,4.319583333333333,3.1796875,1024,407
20,4.42375,0.0,4.42375,3.2578125,1024,417
21,4.33,0.0,4.33,3.1875,1024,408
22,4.194583333333333,0.0,4.194583333333333,3.0859375,1024,395
23,4.496666666666667,0.0,4.496666666666667,3.3125,1024,424
24,1.54875,0.0,1.54875,1.1015625,1024,141
25,1.54875,0.0,1.54875,1.1015625,1024,141
26,1.48625,0.0,1.48625,1.0546875,1024,135
27,1.48625,0.0,1.48625,1.0546875,1024,135
28,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
29,1.5175,0.0,1.5175,1.078125,1024,138
30,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
31,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
32,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
33,1.5695833333333333,0.0,1.5695833333333333,1.1171875,1024,143
34,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
35,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
36,4.257083333333333,0.0,4.257083333333333,3.1328125,1024,401
37,4.371666666666667,0.0,4.371666666666667,3.21875,1024,412
38,4.48625,0.0,4.48625,3.3046875,1024,423
39,4.132083333333333,0.0,4.132083333333333,3.0390625,1024,389
40,4.42375,0.0,4.42375,3.2578125,1024,417
41,4.225833333333333,0.0,4.225833333333333,3.109375,1024,398
42,4.152916666666667,0.0,4.152916666666667,3.0546875,1024,391
43,4.23625,0.0,4.23625,3.1171875,1024,399
44,4.444583333333333,0.0,4.444583333333333,3.2734375,1024,419
