step,compute_ms,migration_ms,layer_ms,imbalance,tokens,max_device_tokens
0,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
1,1.4654166666666668,0.0,1.4654166666666668,1.0390625,1024,133
2,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
3,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
4,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
5,1.5695833333333333,0.0,1.5695833333333333,1.1171875,1024,143
6,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
7,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
8,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
9,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
10,1.455,0.0,1.455,1.03125,1024,132
11,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
12,4.184166666666667,0.0,4.184166666666667,3.078125,1024,394
13,4.205,0.0,4.205,3.09375,1024,396
14,4.444583333333333,0.0,4.444583333333333,3.2734375,1024,419
15,4.36125,0.0,4.36125,3.2109375,1024,411
16,1.79875,4.6499999999999995,6.4487499999999995,1.2890625,1024,165
17,1.8404166666666668,0.0,1.8404166666666668,1.3203125,1024,169
18,1.8404166666666668,0.0,1.8404166666666668,1.3203125,1024,169
19,1.8508333333333333,0.0,1.8508333333333333,1.328125,1024,170
20,1.83,0.0,1.83,1.3125,1024,168
21,1.79875,0.0,1.79875,1.2890625,1024,165
22,1.7258333333333333,0.0,1.7258333333333333,1.234375,1024,158
23,1.9133333333333333,0.0,1.9133333333333333,1.375,1024,176
24,1.6633333333333333,0.0,1.6633333333333333,1.1875,1024,152
25,1.6008333333333333,0.0,1.6008333333333333,1.140625,1024,146
26,1.5904166666666668,0.0,1.5904166666666668,1.1328125,1024,145
27,1.6320833333333333,0.0,1.6320833333333333,1.1640625,1024,149
28,1.705,0.0,1.705,1.21875,1024,156
29,1.7570833333333333,0.0,1.7570833333333333,1.2578125,1024,161
30,1.5695833333333333,0.0,1.5695833333333333,1.1171875,1024,143
31,1.67375,0.0,1.67375,1.1953125,1024,153
32,1.73625,0.0,1.73625,1.2421875,1024,159
33,1.5695833333333333,0.0,1.5695833333333333,1.1171875,1024,143
34,1.67375,0.0,1.67375,1.1953125,1024,153
35,1.705,0.0,1.705,1.21875,1024,156
36,1.7466666666666668,0.0,1.7466666666666668,1.25,1024,160
37,1.7154166666666668,0.0,1.7154166666666668,1.2265625,1024,157
38,1.8091666666666668,0.0,1.8091666666666668,1.296875,1024,166
39,2.04875,0.0,2.04875,1.4765625,1024,189
40,1.7466666666666668,0.0,1.7466666666666668,1.25,1024,160
41,1.8091666666666668,0.0,1.8091666666666668,1.296875,1024,166
42,1.8925,0.0,1.8925,1.359375,1024,174
43,1.9133333333333333,0.0,1.9133333333333333,1.375,1024,176
44,1.8091666666666668,0.0,1.8091666666666668,1.296875,1024,166
45,1.7779166666666668,0.0,1.7779166666666668,1.2734375,1024,163
46,1.8820833333333333,0.0,1.8820833333333333,1.3515625,1024,173
47,1.7779166666666668,0.0,1.7779166666666668,1.2734375,1024,163
48,2.2466666666666666,5.25,7.496666666666666,1.625,1024,208
49,2.2466666666666666,0.0,2.2466666666666666,1.625,1024,208
50,2.2466666666666666,0.0,2.2466666666666666,1.625,1024,208
51,2.1216666666666666,0.0,2.1216666666666666,1.53125,1024,196
52,2.455,0.0,2.455,1.78125,1024,228
53,2.2466666666666666,0.0,2.2466666666666666,1.625,1024,208
54,2.205,0.0,2.205,1.59375,1024,204
55,2.2154166666666666,0.0,2.2154166666666666,1.6015625,1024,205
56,2.4966666666666666,0.0,2.4966666666666666,1.8125,1024,232
57,2.3925,0.0,2.3925,1.734375,1024,222
58,2.3195833333333336,0.0,2.3195833333333336,1.6796875,1024,215
59,2.3195833333333336,0.0,2.3195833333333336,1.6796875,1024,215
60,2.11125,0.0,2.11125,1.5234375,1024,195
61,1.92375,0.0,1.92375,1.3828125,1024,177
62,2.1529166666666666,0.0,2.1529166666666666,1.5546875,1024,199
63,1.8820833333333333,0.0,1.8820833333333333,1.3515625,1024,173
64,1.8091666666666668,4.6499999999999995,6.4591666666666665,1.296875,1024,166
65,1.6841666666666668,0.0,1.6841666666666668,1.203125,1024,154
66,1.86125,0.0,1.86125,1.3359375,1024,171
67,1.8404166666666668,0.0,1.8404166666666668,1.3203125,1024,169
68,1.7570833333333333,0.0,1.7570833333333333,1.2578125,1024,161
69,1.6529166666666668,0.0,1.6529166666666668,1.1796875,1024,151
70,1.92375,0.0,1.92375,1.3828125,1024,177
71,1.705,0.0,1.705,1.21875,1024,156
72,1.79875,0.0,1.79875,1.2890625,1024,165
73,1.7570833333333333,0.0,1.7570833333333333,1.2578125,1024,161
74,1.7883333333333333,0.0,1.7883333333333333,1.28125,1024,164
75,1.7466666666666668,0.0,1.7466666666666668,1.25,1024,160
76,1.86125,0.0,1.86125,1.3359375,1024,171
77,1.92375,0.0,1.92375,1.3828125,1024,177
78,1.7258333333333333,0.0,1.7258333333333333,1.234375,1024,158
79,1.705,0.0,1.705,1.21875,1024,156
80,1.7883333333333333,0.0,1.7883333333333333,1.28125,1024,164
81,1.7675,0.0,1.7675,1.265625,1024,162
82,1.9445833333333333,0.0,1.9445833333333333,1.3984375,1024,179
83,1.8091666666666668,0.0,1.8091666666666668,1.296875,1024,166
84,1.8508333333333333,0.0,1.8508333333333333,1.328125,1024,170
85,1.8404166666666668,0.0,1.8404166666666668,1.3203125,1024,169
86,1.73625,0.0,1.73625,1.2421875,1024,159
87,1.8716666666666668,0.0,1.8716666666666668,1.34375,1024,172
88,1.8508333333333333,0.0,1.8508333333333333,1.328125,1024,170
89,1.6320833333333333,0.0,1.6320833333333333,1.1640625,1024,149
90,1.86125,0.0,1.86125,1.3359375,1024,171
91,1.86125,0.0,1.86125,1.3359375,1024,171
92,1.6945833333333333,0.0,1.6945833333333333,1.2109375,1024,155
93,1.6841666666666668,0.0,1.6841666666666668,1.203125,1024,154
94,1.83,0.0,1.83,1.3125,1024,168
95,1.7883333333333333,0.0,1.7883333333333333,1.28125,1024,164
96,1.8091666666666668,0.0,1.8091666666666668,1.296875,1024,166
97,1.8091666666666668,0.0,1.8091666666666668,1.296875,1024,166
98,1.73625,0.0,1.73625,1.2421875,1024,159
99,1.7466666666666668,0.0,1.7466666666666668,1.25,1024,160
100,1.8508333333333333,0.0,1.8508333333333333,1.328125,1024,170
101,1.7466666666666668,0.0,1.7466666666666668,1.25,1024,160
102,1.705,0.0,1.705,1.21875,1024,156
103,1.9445833333333333,0.0,1.9445833333333333,1.3984375,1024,179
104,1.7883333333333333,0.0,1.7883333333333333,1.28125,1024,164
105,1.8925,0.0,1.8925,1.359375,1024,174
106,1.8091666666666668,0.0,1.8091666666666668,1.296875,1024,166
107,1.7570833333333333,0.0,1.7570833333333333,1.2578125,1024,161
108,1.7675,0.0,1.7675,1.265625,1024,162
109,1.7883333333333333,0.0,1.7883333333333333,1.28125,1024,164
110,1.83,0.0,1.83,1.3125,1024,168
111,1.7675,0.0,1.7675,1.265625,1024,162
112,1.7258333333333333,0.0,1.7258333333333333,1.234375,1024,158
113,1.9029166666666668,0.0,1.9029166666666668,1.3671875,1024,175
114,1.86125,0.0,1.86125,1.3359375,1024,171
115,1.8091666666666668,0.0,1.8091666666666668,1.296875,1024,166
116,1.8508333333333333,0.0,1.8508333333333333,1.328125,1024,170
117,1.86125,0.0,1.86125,1.3359375,1024,171
