step,compute_ms,migration_ms,layer_ms,imbalance,tokens,max_device_tokens
0,4.5175,0.0,4.5175,1.6640625,1024,426
1,4.455,0.0,4.455,1.640625,1024,420
2,4.382083333333333,0.0,4.382083333333333,1.61328125,1024,413
3,4.455,0.0,4.455,1.640625,1024,420
4,4.434166666666667,0.0,4.434166666666667,1.6328125,1024,418
5,4.413333333333333,0.0,4.413333333333333,1.625,1024,416
6,4.507083333333333,0.0,4.507083333333333,1.66015625,1024,425
7,4.5175,0.0,4.5175,1.6640625,1024,426
8,4.413333333333333,0.0,4.413333333333333,1.625,1024,416
9,4.382083333333333,0.0,4.382083333333333,1.61328125,1024,413
10,4.350833333333333,0.0,4.350833333333333,1.6015625,1024,410
11,4.340416666666667,0.0,4.340416666666667,1.59765625,1024,409
12,4.434166666666667,0.0,4.434166666666667,1.6328125,1024,418
13,4.434166666666667,0.0,4.434166666666667,1.6328125,1024,418
14,4.475833333333333,0.0,4.475833333333333,1.6484375,1024,422
15,4.402916666666667,0.0,4.402916666666667,1.62109375,1024,415
16,4.527916666666667,0.0,4.527916666666667,1.66796875,1024,427
17,4.33,0.0,4.33,1.59375,1024,408
18,4.465416666666667,0.0,4.465416666666667,1.64453125,1024,421
19,4.455,0.0,4.455,1.640625,1024,420
20,4.434166666666667,0.0,4.434166666666667,1.6328125,1024,418
21,4.42375,0.0,4.42375,1.62890625,1024,417
22,4.42375,0.0,4.42375,1.62890625,1024,417
23,4.33,0.0,4.33,1.59375,1024,408
24,4.42375,0.0,4.42375,1.62890625,1024,417
25,4.434166666666667,0.0,4.434166666666667,1.6328125,1024,418
26,4.42375,0.0,4.42375,1.62890625,1024,417
27,4.465416666666667,0.0,4.465416666666667,1.64453125,1024,421
28,4.36125,0.0,4.36125,1.60546875,1024,411
29,4.340416666666667,0.0,4.340416666666667,1.59765625,1024,409
30,4.42375,0.0,4.42375,1.62890625,1024,417
31,4.444583333333333,0.0,4.444583333333333,1.63671875,1024,419
32,4.569583333333333,0.0,4.569583333333333,1.68359375,1024,431
33,4.496666666666667,0.0,4.496666666666667,1.65625,1024,424
34,4.340416666666667,0.0,4.340416666666667,1.59765625,1024,409
35,4.590416666666667,0.0,4.590416666666667,1.69140625,1024,433
36,4.36125,0.0,4.36125,1.60546875,1024,411
37,4.33,0.0,4.33,1.59375,1024,408
38,4.434166666666667,0.0,4.434166666666667,1.6328125,1024,418
39,4.496666666666667,0.0,4.496666666666667,1.65625,1024,424
40,4.538333333333333,0.0,4.538333333333333,1.671875,1024,428
41,4.527916666666667,0.0,4.527916666666667,1.66796875,1024,427
42,4.350833333333333,0.0,4.350833333333333,1.6015625,1024,410
43,4.5175,0.0,4.5175,1.6640625,1024,426
44,4.36125,0.0,4.36125,1.60546875,1024,411
45,4.29875,0.0,4.29875,1.58203125,1024,405
46,4.455,0.0,4.455,1.640625,1024,420
47,4.350833333333333,0.0,4.350833333333333,1.6015625,1024,410
48,4.371666666666667,0.0,4.371666666666667,1.609375,1024,412
49,4.350833333333333,0.0,4.350833333333333,1.6015625,1024,410
50,4.475833333333333,0.0,4.475833333333333,1.6484375,1024,422
51,4.444583333333333,0.0,4.444583333333333,1.63671875,1024,419
52,4.455,0.0,4.455,1.640625,1024,420
53,4.444583333333333,0.0,4.444583333333333,1.63671875,1024,419
54,4.382083333333333,0.0,4.382083333333333,1.61328125,1024,413
55,4.465416666666667,0.0,4.465416666666667,1.64453125,1024,421
56,4.340416666666667,0.0,4.340416666666667,1.59765625,1024,409
57,4.402916666666667,0.0,4.402916666666667,1.62109375,1024,415
58,4.444583333333333,0.0,4.444583333333333,1.63671875,1024,419
59,4.559166666666667,0.0,4.559166666666667,1.6796875,1024,430
60,4.465416666666667,0.0,4.465416666666667,1.64453125,1024,421
61,4.455,0.0,4.455,1.640625,1024,420
62,4.444583333333333,0.0,4.444583333333333,1.63671875,1024,419
63,4.402916666666667,0.0,4.402916666666667,1.62109375,1024,415
64,4.42375,0.0,4.42375,1.62890625,1024,417
65,4.434166666666667,0.0,4.434166666666667,1.6328125,1024,418
66,4.371666666666667,0.0,4.371666666666667,1.609375,1024,412
67,4.527916666666667,0.0,4.527916666666667,1.66796875,1024,427
68,4.444583333333333,0.0,4.444583333333333,1.63671875,1024,419
69,4.413333333333333,0.0,4.413333333333333,1.625,1024,416
70,4.48625,0.0,4.48625,1.65234375,1024,423
71,4.413333333333333,0.0,4.413333333333333,1.625,1024,416
72,4.48625,0.0,4.48625,1.65234375,1024,423
73,4.496666666666667,0.0,4.496666666666667,1.65625,1024,424
74,4.496666666666667,0.0,4.496666666666667,1.65625,1024,424
75,4.402916666666667,0.0,4.402916666666667,1.62109375,1024,415
76,4.538333333333333,0.0,4.538333333333333,1.671875,1024,428
77,4.58,0.0,4.58,1.6875,1024,432
78,4.48625,0.0,4.48625,1.65234375,1024,423
79,4.434166666666667,0.0,4.434166666666667,1.6328125,1024,418
80,4.475833333333333,0.0,4.475833333333333,1.6484375,1024,422
81,4.465416666666667,0.0,4.465416666666667,1.64453125,1024,421
82,4.444583333333333,0.0,4.444583333333333,1.63671875,1024,419
83,4.455,0.0,4.455,1.640625,1024,420
84,4.3925,0.0,4.3925,1.6171875,1024,414
85,4.444583333333333,0.0,4.444583333333333,1.63671875,1024,419
86,4.538333333333333,0.0,4.538333333333333,1.671875,1024,428
87,4.5175,0.0,4.5175,1.6640625,1024,426
88,4.413333333333333,0.0,4.413333333333333,1.625,1024,416
89,4.371666666666667,0.0,4.371666666666667,1.609375,1024,412
90,4.402916666666667,0.0,4.402916666666667,1.62109375,1024,415
91,4.382083333333333,0.0,4.382083333333333,1.61328125,1024,413
92,4.444583333333333,0.0,4.444583333333333,1.63671875,1024,419
93,4.496666666666667,0.0,4.496666666666667,1.65625,1024,424
94,4.402916666666667,0.0,4.402916666666667,1.62109375,1024,415
95,4.33,0.0,4.33,1.59375,1024,408
