step,compute_ms,migration_ms,layer_ms,imbalance,tokens,max_device_tokens
0,3.955,0.0,3.955,2.90625,1024,372
1,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
2,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
3,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
4,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
5,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
6,3.98625,0.0,3.98625,2.9296875,1024,375
7,4.132083333333333,0.0,4.132083333333333,3.0390625,1024,389
8,4.194583333333333,0.0,4.194583333333333,3.0859375,1024,395
9,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
10,3.9133333333333336,0.0,3.9133333333333336,2.875,1024,368
11,4.152916666666667,0.0,4.152916666666667,3.0546875,1024,391
12,3.9445833333333336,0.0,3.9445833333333336,2.8984375,1024,371
13,4.04875,0.0,4.04875,2.9765625,1024,381
14,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
15,3.9029166666666666,0.0,3.9029166666666666,2.8671875,1024,367
16,3.98625,0.0,3.98625,2.9296875,1024,375
17,3.9445833333333336,0.0,3.9445833333333336,2.8984375,1024,371
18,4.132083333333333,0.0,4.132083333333333,3.0390625,1024,389
19,3.955,0.0,3.955,2.90625,1024,372
20,4.11125,0.0,4.11125,3.0234375,1024,387
21,4.0175,0.0,4.0175,2.953125,1024,378
22,4.04875,0.0,4.04875,2.9765625,1024,381
23,3.9133333333333336,0.0,3.9133333333333336,2.875,1024,368
24,4.184166666666667,0.0,4.184166666666667,3.078125,1024,394
25,4.194583333333333,0.0,4.194583333333333,3.0859375,1024,395
26,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
27,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
28,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
29,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
30,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
31,4.04875,0.0,4.04875,2.9765625,1024,381
32,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
33,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
34,4.08,0.0,4.08,3.0,1024,384
35,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
36,4.121666666666667,0.0,4.121666666666667,3.03125,1024,388
37,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
38,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
39,3.8716666666666666,0.0,3.8716666666666666,2.84375,1024,364
40,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
41,3.98625,0.0,3.98625,2.9296875,1024,375
42,4.1425,0.0,4.1425,3.046875,1024,390
43,4.08,0.0,4.08,3.0,1024,384
44,4.0175,0.0,4.0175,2.953125,1024,378
45,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
46,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
47,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
48,4.04875,0.0,4.04875,2.9765625,1024,381
49,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
50,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
51,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
52,3.98625,0.0,3.98625,2.9296875,1024,375
53,3.9133333333333336,0.0,3.9133333333333336,2.875,1024,368
54,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
55,3.98625,0.0,3.98625,2.9296875,1024,375
56,3.98625,0.0,3.98625,2.9296875,1024,375
57,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
58,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
59,3.8925,0.0,3.8925,2.859375,1024,366
60,4.121666666666667,0.0,4.121666666666667,3.03125,1024,388
61,3.8925,0.0,3.8925,2.859375,1024,366
62,4.08,0.0,4.08,3.0,1024,384
63,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
64,4.04875,0.0,4.04875,2.9765625,1024,381
65,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
66,4.0175,0.0,4.0175,2.953125,1024,378
67,3.98625,0.0,3.98625,2.9296875,1024,375
68,3.98625,0.0,3.98625,2.9296875,1024,375
69,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
70,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
71,4.132083333333333,0.0,4.132083333333333,3.0390625,1024,389
72,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
73,4.0175,0.0,4.0175,2.953125,1024,378
74,3.98625,0.0,3.98625,2.9296875,1024,375
75,3.98625,0.0,3.98625,2.9296875,1024,375
76,4.0175,0.0,4.0175,2.953125,1024,378
77,4.121666666666667,0.0,4.121666666666667,3.03125,1024,388
78,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
79,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
80,3.8925,0.0,3.8925,2.859375,1024,366
81,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
82,4.0175,0.0,4.0175,2.953125,1024,378
83,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
84,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
85,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
86,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
87,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
88,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
89,4.04875,0.0,4.04875,2.9765625,1024,381
90,4.121666666666667,0.0,4.121666666666667,3.03125,1024,388
91,3.92375,0.0,3.92375,2.8828125,1024,369
92,3.9445833333333336,0.0,3.9445833333333336,2.8984375,1024,371
93,4.11125,0.0,4.11125,3.0234375,1024,387
94,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
95,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
96,4.08,0.0,4.08,3.0,1024,384
97,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
98,3.8716666666666666,0.0,3.8716666666666666,2.84375,1024,364
99,3.98625,0.0,3.98625,2.9296875,1024,375
100,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
101,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
102,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
103,3.955,0.0,3.955,2.90625,1024,372
104,4.121666666666667,0.0,4.121666666666667,3.03125,1024,388
105,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
106,3.8925,0.0,3.8925,2.859375,1024,366
107,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
108,3.98625,0.0,3.98625,2.9296875,1024,375
109,4.04875,0.0,4.04875,2.9765625,1024,381
110,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
111,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
112,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
113,3.955,0.0,3.955,2.90625,1024,372
114,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
115,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
116,4.08,0.0,4.08,3.0,1024,384
117,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
118,3.86125,0.0,3.86125,2.8359375,1024,363
119,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
120,4.11125,0.0,4.11125,3.0234375,1024,387
121,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
122,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
123,4.0175,0.0,4.0175,2.953125,1024,378
124,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
125,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
126,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
127,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
128,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
129,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
130,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
131,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
132,4.08,0.0,4.08,3.0,1024,384
133,4.0175,0.0,4.0175,2.953125,1024,378
134,4.04875,0.0,4.04875,2.9765625,1024,381
135,4.0175,0.0,4.0175,2.953125,1024,378
136,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
137,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
138,3.8925,0.0,3.8925,2.859375,1024,366
139,4.08,0.0,4.08,3.0,1024,384
140,3.92375,0.0,3.92375,2.8828125,1024,369
141,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
142,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
143,4.08,0.0,4.08,3.0,1024,384
144,4.04875,0.0,4.04875,2.9765625,1024,381
145,3.9133333333333336,0.0,3.9133333333333336,2.875,1024,368
146,4.152916666666667,0.0,4.152916666666667,3.0546875,1024,391
147,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
148,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
149,4.194583333333333,0.0,4.194583333333333,3.0859375,1024,395
150,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
151,4.152916666666667,0.0,4.152916666666667,3.0546875,1024,391
152,3.92375,0.0,3.92375,2.8828125,1024,369
153,4.04875,0.0,4.04875,2.9765625,1024,381
154,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
155,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
156,4.08,0.0,4.08,3.0,1024,384
157,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
158,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
159,4.08,0.0,4.08,3.0,1024,384
160,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
161,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
162,3.98625,0.0,3.98625,2.9296875,1024,375
163,3.8925,0.0,3.8925,2.859375,1024,366
164,3.98625,0.0,3.98625,2.9296875,1024,375
165,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
166,4.100833333333333,0.0,4.100833333333333,3.015625,1024,386
167,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
168,4.121666666666667,0.0,4.121666666666667,3.03125,1024,388
169,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
170,3.9966666666666666,0.0,3.9966666666666666,2.9375,1024,376
171,3.9445833333333336,0.0,3.9445833333333336,2.8984375,1024,371
172,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
173,3.8925,0.0,3.8925,2.859375,1024,366
174,4.2675,0.0,4.2675,3.140625,1024,402
175,4.04875,0.0,4.04875,2.9765625,1024,381
176,3.98625,0.0,3.98625,2.9296875,1024,375
177,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
178,3.9445833333333336,0.0,3.9445833333333336,2.8984375,1024,371
179,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
180,4.04875,0.0,4.04875,2.9765625,1024,381
181,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
182,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
183,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
184,4.08,0.0,4.08,3.0,1024,384
185,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
186,4.205,0.0,4.205,3.09375,1024,396
187,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
188,4.194583333333333,0.0,4.194583333333333,3.0859375,1024,395
189,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
190,3.955,0.0,3.955,2.90625,1024,372
191,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
192,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
193,4.08,0.0,4.08,3.0,1024,384
194,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
195,4.04875,0.0,4.04875,2.9765625,1024,381
196,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
197,4.0175,0.0,4.0175,2.953125,1024,378
198,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
199,4.0175,0.0,4.0175,2.953125,1024,378
200,4.059166666666666,0.0,4.059166666666666,2.984375,1024,382
201,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
202,3.9341666666666666,0.0,3.9341666666666666,2.890625,1024,370
203,4.08,0.0,4.08,3.0,1024,384
204,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
205,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
206,4.08,0.0,4.08,3.0,1024,384
207,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
208,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
209,3.9445833333333336,0.0,3.9445833333333336,2.8984375,1024,371
210,4.04875,0.0,4.04875,2.9765625,1024,381
211,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
212,3.9654166666666666,0.0,3.9654166666666666,2.9140625,1024,373
213,4.027916666666666,0.0,4.027916666666666,2.9609375,1024,379
214,4.0175,0.0,4.0175,2.953125,1024,378
215,3.9133333333333336,0.0,3.9133333333333336,2.875,1024,368
216,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
217,3.9445833333333336,0.0,3.9445833333333336,2.8984375,1024,371
218,4.090416666666667,0.0,4.090416666666667,3.0078125,1024,385
219,4.069583333333333,0.0,4.069583333333333,2.9921875,1024,383
220,4.007083333333333,0.0,4.007083333333333,2.9453125,1024,377
221,3.9758333333333336,0.0,3.9758333333333336,2.921875,1024,374
222,4.038333333333333,0.0,4.038333333333333,2.96875,1024,380
