step,compute_ms,migration_ms,layer_ms,imbalance,tokens,max_device_tokens
0,2.23625,0.0,2.23625,1.6171875,1024,207
1,2.1841666666666666,0.0,2.1841666666666666,1.578125,1024,202
2,2.205,0.0,2.205,1.59375,1024,204
3,2.1945833333333336,0.0,2.1945833333333336,1.5859375,1024,203
4,2.2258333333333336,0.0,2.2258333333333336,1.609375,1024,206
5,2.1216666666666666,0.0,2.1216666666666666,1.53125,1024,196
6,2.2675,0.0,2.2675,1.640625,1024,210
7,2.23625,0.0,2.23625,1.6171875,1024,207
8,2.007083333333333,0.0,2.007083333333333,1.4453125,1024,185
9,2.1529166666666666,0.0,2.1529166666666666,1.5546875,1024,199
10,2.2258333333333336,0.0,2.2258333333333336,1.609375,1024,206
11,2.04875,0.0,2.04875,1.4765625,1024,189
12,2.1008333333333336,0.0,2.1008333333333336,1.515625,1024,194
13,2.1841666666666666,0.0,2.1841666666666666,1.578125,1024,202
14,2.2258333333333336,0.0,2.2258333333333336,1.609375,1024,206
15,2.1945833333333336,0.0,2.1945833333333336,1.5859375,1024,203
16,2.2675,0.0,2.2675,1.640625,1024,210
17,2.1841666666666666,0.0,2.1841666666666666,1.578125,1024,202
18,2.0904166666666666,0.0,2.0904166666666666,1.5078125,1024,193
19,1.9966666666666668,0.0,1.9966666666666668,1.4375,1024,184
20,2.2154166666666666,0.0,2.2154166666666666,1.6015625,1024,205
21,2.1425,0.0,2.1425,1.546875,1024,198
22,2.23625,0.0,2.23625,1.6171875,1024,207
23,2.1425,0.0,2.1425,1.546875,1024,198
24,2.205,0.0,2.205,1.59375,1024,204
25,2.1008333333333336,0.0,2.1008333333333336,1.515625,1024,194
26,2.1320833333333336,0.0,2.1320833333333336,1.5390625,1024,197
27,2.17375,0.0,2.17375,1.5703125,1024,201
28,2.4654166666666666,0.0,2.4654166666666666,1.7890625,1024,229
29,1.9966666666666668,0.0,1.9966666666666668,1.4375,1024,184
30,2.4654166666666666,0.0,2.4654166666666666,1.7890625,1024,229
31,2.0904166666666666,0.0,2.0904166666666666,1.5078125,1024,193
32,2.1320833333333336,0.0,2.1320833333333336,1.5390625,1024,197
33,2.205,0.0,2.205,1.59375,1024,204
34,2.2154166666666666,0.0,2.2154166666666666,1.6015625,1024,205
35,2.1945833333333336,0.0,2.1945833333333336,1.5859375,1024,203
36,2.1425,0.0,2.1425,1.546875,1024,198
37,2.33,0.0,2.33,1.6875,1024,216
38,2.3508333333333336,0.0,2.3508333333333336,1.703125,1024,218
39,2.1216666666666666,0.0,2.1216666666666666,1.53125,1024,196
40,2.2570833333333336,0.0,2.2570833333333336,1.6328125,1024,209
41,2.069583333333333,0.0,2.069583333333333,1.4921875,1024,191
42,2.1633333333333336,0.0,2.1633333333333336,1.5625,1024,200
43,1.9341666666666668,0.0,1.9341666666666668,1.390625,1024,178
44,2.4341666666666666,0.0,2.4341666666666666,1.765625,1024,226
45,2.1008333333333336,0.0,2.1008333333333336,1.515625,1024,194
46,1.9445833333333333,0.0,1.9445833333333333,1.3984375,1024,179
47,1.9654166666666668,0.0,1.9654166666666668,1.4140625,1024,181
48,2.0175,0.0,2.0175,1.453125,1024,186
49,2.1216666666666666,0.0,2.1216666666666666,1.53125,1024,196
50,2.11125,0.0,2.11125,1.5234375,1024,195
51,2.1216666666666666,0.0,2.1216666666666666,1.53125,1024,196
52,2.1008333333333336,0.0,2.1008333333333336,1.515625,1024,194
53,2.1529166666666666,0.0,2.1529166666666666,1.5546875,1024,199
54,2.1008333333333336,0.0,2.1008333333333336,1.515625,1024,194
55,2.0279166666666666,0.0,2.0279166666666666,1.4609375,1024,187
56,2.1320833333333336,0.0,2.1320833333333336,1.5390625,1024,197
57,2.1945833333333336,0.0,2.1945833333333336,1.5859375,1024,203
58,2.1841666666666666,0.0,2.1841666666666666,1.578125,1024,202
59,2.0904166666666666,0.0,2.0904166666666666,1.5078125,1024,193
60,2.069583333333333,0.0,2.069583333333333,1.4921875,1024,191
61,1.98625,0.0,1.98625,1.4296875,1024,183
62,2.1008333333333336,0.0,2.1008333333333336,1.515625,1024,194
63,2.29875,0.0,2.29875,1.6640625,1024,213
64,2.1841666666666666,0.0,2.1841666666666666,1.578125,1024,202
65,2.08,0.0,2.08,1.5,1024,192
66,2.17375,0.0,2.17375,1.5703125,1024,201
67,2.0175,0.0,2.0175,1.453125,1024,186
68,2.08,0.0,2.08,1.5,1024,192
69,1.9758333333333333,0.0,1.9758333333333333,1.421875,1024,182
70,2.069583333333333,0.0,2.069583333333333,1.4921875,1024,191
71,1.9445833333333333,0.0,1.9445833333333333,1.3984375,1024,179
72,2.3404166666666666,0.0,2.3404166666666666,1.6953125,1024,217
73,2.2154166666666666,0.0,2.2154166666666666,1.6015625,1024,205
74,2.33,0.0,2.33,1.6875,1024,216
75,2.1425,0.0,2.1425,1.546875,1024,198
76,2.2154166666666666,0.0,2.2154166666666666,1.6015625,1024,205
77,2.04875,0.0,2.04875,1.4765625,1024,189
78,2.0591666666666666,0.0,2.0591666666666666,1.484375,1024,190
79,2.23625,0.0,2.23625,1.6171875,1024,207
80,2.23625,0.0,2.23625,1.6171875,1024,207
81,2.2675,0.0,2.2675,1.640625,1024,210
