step,compute_ms,migration_ms,layer_ms,imbalance,tokens,max_device_tokens
0,1.48625,0.0,1.48625,1.0546875,1024,135
1,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
2,1.58,0.0,1.58,1.125,1024,144
3,1.5591666666666668,0.0,1.5591666666666668,1.109375,1024,142
4,1.6633333333333333,0.0,1.6633333333333333,1.1875,1024,152
5,1.48625,0.0,1.48625,1.0546875,1024,135
6,1.5591666666666668,0.0,1.5591666666666668,1.109375,1024,142
7,1.705,0.0,1.705,1.21875,1024,156
8,1.5175,0.0,1.5175,1.078125,1024,138
9,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
10,1.6945833333333333,0.0,1.6945833333333333,1.2109375,1024,155
11,1.5175,0.0,1.5175,1.078125,1024,138
12,1.5175,0.0,1.5175,1.078125,1024,138
13,1.67375,0.0,1.67375,1.1953125,1024,153
14,1.705,0.0,1.705,1.21875,1024,156
15,1.6945833333333333,0.0,1.6945833333333333,1.2109375,1024,155
16,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
17,1.5175,0.0,1.5175,1.078125,1024,138
18,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
19,1.4966666666666668,0.0,1.4966666666666668,1.0625,1024,136
20,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
21,1.54875,0.0,1.54875,1.1015625,1024,141
22,1.5904166666666668,0.0,1.5904166666666668,1.1328125,1024,145
23,1.5383333333333333,0.0,1.5383333333333333,1.09375,1024,140
24,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
25,1.5904166666666668,0.0,1.5904166666666668,1.1328125,1024,145
26,1.4758333333333333,0.0,1.4758333333333333,1.046875,1024,134
27,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
28,1.54875,0.0,1.54875,1.1015625,1024,141
29,1.61125,0.0,1.61125,1.1484375,1024,147
30,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
31,1.6529166666666668,0.0,1.6529166666666668,1.1796875,1024,151
32,1.5070833333333333,0.0,1.5070833333333333,1.0703125,1024,137
33,1.5279166666666668,0.0,1.5279166666666668,1.0859375,1024,139
34,1.54875,0.0,1.54875,1.1015625,1024,141
