scenario,seed,mode,experts,ranks,capacity,steps,mean_layer_ms,p95_layer_ms,mean_imbalance,layout_switches,weight_copies,flow_fallbacks,migration_total_ms,activation_total,case
steady,31,uniform,32,8,6,360,4.0314756944444445,4.152916666666667,2.963606770833333,0,0,0,0.0,368640,steady
steady,31,static,32,8,6,360,1.5145775462962965,1.58,1.0759331597222221,0,0,0,0.0,368640,steady
steady,31,dynamic,32,8,6,360,1.5145775462962965,1.58,1.0759331597222221,0,0,0,0.0,368640,steady
steady,47,uniform,32,8,6,360,4.0199594907407405,4.1425,2.9549696180555554,0,0,0,0.0,368640,steady
steady,47,static,32,8,6,360,1.5136516203703703,1.58,1.0752387152777778,0,0,0,0.0,368640,steady
steady,47,dynamic,32,8,6,360,1.5136516203703703,1.58,1.0752387152777778,0,0,0,0.0,368640,steady
steady,89,uniform,32,8,6,360,4.021087962962963,4.132083333333333,2.955815972222222,0,0,0,0.0,368640,steady
steady,89,static,32,8,6,360,1.5162557870370372,1.58,1.0771918402777778,0,0,0,0.0,368640,steady
steady,89,dynamic,32,8,6,360,1.5162557870370372,1.58,1.0771918402777778,0,0,0,0.0,368640,steady
shift,31,uniform,32,8,6,360,4.816313657407408,5.83,3.5522352430555557,0,0,0,0.0,368640,shift
shift,31,static,32,8,6,360,2.9471006944444444,4.600833333333333,2.1503255208333334,0,0,0,0.0,368640,shift
shift,31,dynamic,32,8,6,360,1.6959259259259258,2.4133333333333336,1.1819444444444445,3,96,0,14.399999999999999,368640,shift
shift,47,uniform,32,8,6,360,4.8185416666666665,5.83,3.55390625,0,0,0,0.0,368640,shift
shift,47,static,32,8,6,360,2.9187152777777783,4.527916666666667,2.129036458333333,0,0,0,0.0,368640,shift
shift,47,dynamic,32,8,6,360,1.686846064814815,2.205,1.1726345486111112,3,104,0,15.6,368640,shift
shift,89,uniform,32,8,6,360,4.818715277777779,5.83,3.5540364583333335,0,0,0,0.0,368640,shift
shift,89,static,32,8,6,360,2.8892013888888894,4.455,2.1069010416666667,0,0,0,0.0,368640,shift
shift,89,dynamic,32,8,6,360,1.691105324074074,2.2154166666666666,1.1795789930555556,3,92,0,13.799999999999999,368640,shift
oscillate,31,uniform,32,8,6,360,4.818744212962963,5.83,3.554058159722222,0,0,0,0.0,368640,oscillate
oscillate,31,static,32,8,6,360,2.9401562500000007,4.590416666666667,2.1451171875,0,0,0,0.0,368640,oscillate
