policy,scenario,seed,clusters,requests,measured,trace_sha256,ttft_mean_s,ttft_p95_s,e2e_mean_s,e2e_p95_s,p_wait_mean_s,prefill_mean_s,d_wait_mean_s,token_hit_ratio,switch_ratio,completed_rps,drain_seconds,max_decode_batch,observation_samples,case
round_robin,steady,31,4,1800,1440,55556fe036cb719961a5920737856940081146ae03913c6857acd6d96af69d44,0.41069817828847527,1.3197230215921891,3.302082852792902,4.834503667714728,0.12753340049920897,0.22714234074074074,0.013052173020577321,0.691039775183744,0.6625,6.784077044110757,5.12839937914697,11,1062,steady_4
least_wait,steady,31,4,1800,1440,55556fe036cb719961a5920737856940081146ae03913c6857acd6d96af69d44,0.31622386223818233,1.2309863258844302,3.207595846109658,4.721913038096687,0.028712719372233037,0.23125345185185187,0.013300782911119885,0.6850410722006053,0.6451388888888889,6.806986482131111,4.235420305875607,14,1058,steady_4
algorithm_one,steady,31,4,1800,1440,55556fe036cb719961a5920737856940081146ae03913c6857acd6d96af69d44,0.2786226465967441,1.2157391773280537,3.1699785122242714,4.546558022564156,0.09039702715325186,0.1324016,0.012876337631838873,0.8292801556420234,0.0,6.806238287367223,4.264488973875814,15,1058,steady_4
algorithm_two,steady,31,4,1800,1440,55556fe036cb719961a5920737856940081146ae03913c6857acd6d96af69d44,0.2763420699432062,1.2229718891680648,3.1677465608027546,4.541830355789429,0.05472792778318241,0.15600653827160496,0.022653862406831635,0.7948371523274247,0.06180555555555556,6.768926462394997,5.722269186282006,16,1064,steady_4
round_robin,steady,47,4,1800,1440,bb98b08dba0637a157090a03ec46d7e2bb07b9131ef217d6a2722b8c6d132c25,0.4063716391213841,1.2617937829139692,3.286260028313101,4.894112588648568,0.11862496502265124,0.23127591604938272,0.013179802788251023,0.6918287800490308,0.6493055555555556,6.9203953583335664,4.807184628370777,13,1041,steady_4
least_wait,steady,47,4,1800,1440,bb98b08dba0637a157090a03ec46d7e2bb07b9131ef217d6a2722b8c6d132c25,0.31109140424391574,1.2230653254016772,3.1909547666944773,4.665882649137416,0.027692736109799016,0.22691789135802468,0.013188451463109423,0.6980546394116298,0.6416666666666667,6.929873111748888,4.451453621411559,15,1040,steady_4
algorithm_one,steady,47,4,1800,1440,bb98b08dba0637a157090a03ec46d7e2bb07b9131ef217d6a2722b8c6d132c25,0.2676126616329596,1.216412565373716,3.147433060226327,4.562543431349695,0.08441310633909052,0.12694258271604938,0.012980597687747425,0.8408790278488156,0.0,6.935986043411664,4.222531083131145,16,1039,steady_4
algorithm_two,steady,47,4,1800,1440,bb98b08dba0637a157090a03ec46d7e2bb07b9131ef217d6a2722b8c6d132c25,0.25341912248766624,1.210821333333314,3.133269644280987,4.524262040858929,0.04205562562673018,0.1473499901234568,0.020739270469932094,0.8117250745163054,0.05555555555555555,6.9359442217968,4.224095885521564,16,1039,steady_4
round_robin,steady,89,4,1800,1440,6ebd02d2bc5012a3864a6a5e560d29f84e28a7b594f84b757fe7368c044800df,0.3954449319714145,1.265143373565408,3.3044902056034515,4.933331925316807,0.11453030981185389,0.2250142074074074,0.01319281415041055,0.6885666623893237,0.6430555555555556,6.545095177135635,4.0099557041527305,11,1101,steady_4
least_wait,steady,89,4,1800,1440,6ebd02d2bc5012a3864a6a5e560d29f84e28a7b594f84b757fe7368c044800df,0.2893616979912018,1.2173052693229636,3.1984436765229134,4.626189517795126,0.013615304222690533,0.21982902222222223,0.013218306861504282,0.6962658796355704,0.6354166666666666,6.545822517658153,3.979397340329399,14,1100,steady_4
algorithm_one,steady,89,4,1800,1440,6ebd02d2bc5012a3864a6a5e560d29f84e28a7b594f84b757fe7368c044800df,0.2774405744338784,1.210821333333314,3.1865302938074938,4.711967965599257,0.09203838288664862,0.12931050370370373,0.013385343550642241,0.8306722149914759,0.0,6.542240301121415,4.129965666241048,14,1101,steady_4
algorithm_two,steady,89,4,1800,1440,6ebd02d2bc5012a3864a6a5e560d29f84e28a7b594f84b757fe7368c044800df,0.2743480618981691,1.2150794447841236,3.1834830569878996,4.579725597639367,0.06451551797486507,0.15173025679012347,0.015424663032256205,0.7973822661362762,0.0625,6.5438274554300255,4.0632337914975665,16,1101,steady_4
round_robin,steady,31,8,1800,1440,6abdec76a5cdeb4e07d682a70218d5ff8d9605ddaaed4f7cfba97e3845f1a405,0.4833023060922458,1.3887779264300804,3.3748682581175506,5.032185878421828,0.14960065194683086,0.27782135308641975,0.01289982947803277,0.6170917999711774,0.7722222222222223,13.31291444468222,5.107670315743832,11,541,steady_8
least_wait,steady,31,8,1800,1440,6abdec76a5cdeb4e07d682a70218d5ff8d9605ddaaed4f7cfba97e3845f1a405,0.35734200868115545,1.2361671919946389,3.2489285010349924,4.786102028736721,0.021164411744549187,0.2803028345679012,0.012894906991612724,0.6134709612336071,0.7527777777777778,13.398194482860584,4.247072037969531,13,538,steady_8
algorithm_one,steady,31,8,1800,1440,6abdec76a5cdeb4e07d682a70218d5ff8d9605ddaaed4f7cfba97e3845f1a405,0.29631370893734005,1.2275875323799,3.187730241381596,4.6887303001157505,0.10812235956543444,0.1320559209876543,0.013177839544222553,0.829784551088053,0.0,13.298586354508418,5.253344365029221,13,542,steady_8
