rho,cs2,mean_waiting_over_mean_service
0.01,0,0.005050505050505051
0.02,0,0.010204081632653062
0.03,0,0.015463917525773196
0.04,0,0.020833333333333336
0.05,0,0.026315789473684213
0.06,0,0.031914893617021274
0.07,0,0.037634408602150546
0.08,0,0.043478260869565216
0.09,0,0.04945054945054945
0.1,0,0.05555555555555556
0.11,0,0.06179775280898876
0.12,0,0.06818181818181818
0.13,0,0.07471264367816093
0.14,0,0.08139534883720931
0.15,0,0.08823529411764706
0.16,0,0.09523809523809525
0.17,0,0.10240963855421688
0.18,0,0.1097560975609756
0.19,0,0.11728395061728394
0.2,0,0.125
0.21,0,0.13291139240506328
0.22,0,0.14102564102564102
0.23,0,0.14935064935064934
0.24,0,0.15789473684210525
0.25,0,0.16666666666666666
0.26,0,0.17567567567567569
0.27,0,0.18493150684931509
0.28,0,0.19444444444444448
0.29,0,0.20422535211267606
0.3,0,0.2142857142857143
0.31,0,0.22463768115942032
0.32,0,0.23529411764705885
0.33,0,0.24626865671641796
0.34,0,0.2575757575757576
0.35,0,0.2692307692307692
0.36,0,0.28125
0.37,0,0.29365079365079366
0.38,0,0.3064516129032258
0.39,0,0.319672131147541
0.4,0,0.33333333333333337
0.41,0,0.347457627118644
0.42,0,0.3620689655172413
0.43,0,0.3771929824561403
0.44,0,0.39285714285714285
0.45,0,0.40909090909090906
0.46,0,0.42592592592592593
0.47,0,0.4433962264150943
0.48,0,0.4615384615384615
0.49,0,0.48039215686274506
0.5,0,0.5
0.51,0,0.5204081632653061
0.52,0,0.5416666666666667
0.53,0,0.5638297872340426
0.54,0,0.5869565217391305
0.55,0,0.6111111111111113
0.56,0,0.6363636363636365
0.57,0,0.6627906976744184
0.58,0,0.6904761904761904
0.59,0,0.7195121951219511
0.6,0,0.7499999999999999
0.61,0,0.782051282051282
0.62,0,0.8157894736842105
0.63,0,0.8513513513513513
0.64,0,0.888888888888889
0.65,0,0.9285714285714287
0.66,0,0.9705882352941178
0.67,0,1.0151515151515154
0.68,0,1.0625000000000002
0.69,0,1.1129032258064513
0.7,0,1.1666666666666665
0.71,0,1.2241379310344827
0.72,0,1.2857142857142856
0.73,0,1.3518518518518516
0.74,0,1.423076923076923
0.75,0,1.5
0.76,0,1.5833333333333335
0.77,0,1.673913043478261
0.78,0,1.772727272727273
0.79,0,1.8809523809523814
0.8,0,2.0000000000000004
0.81,0,2.1315789473684217
0.82,0,2.2777777777777772
0.83,0,2.4411764705882346
0.84,0,2.6249999999999996
0.85,0,2.833333333333333
0.86,0,3.071428571428571
0.87,0,3.346153846153846
0.88,0,3.666666666666667
0.89,0,4.045454545454546
0.9,0,4.500000000000001
0.91,0,5.055555555555557
0.92,0,5.7500000000000036
0.93,0,6.642857142857148
0.94,0,7.833333333333326
0.95,0,9.499999999999991
0.01,1,0.010101010101010102
0.02,1,0.020408163265306124
0.03,1,0.030927835051546393
0.04,1,0.04166666666666667
0.05,1,0.052631578947368425
0.06,1,0.06382978723404255
0.07,1,0.07526881720430109
0.08,1,0.08695652173913043
0.09,1,0.0989010989010989
0.1,1,0.11111111111111112
0.11,1,0.12359550561797752
0.12,1,0.13636363636363635
0.13,1,0.14942528735632185
0.14,1,0.16279069767441862
0.15,1,0.17647058823529413
0.16,1,0.1904761904761905
0.17,1,0.20481927710843376
0.18,1,0.2195121951219512
0.19,1,0.2345679012345679
0.2,1,0.25
0.21,1,0.26582278481012656
0.22,1,0.28205128205128205
0.23,1,0.2987012987012987
0.24,1,0.3157894736842105
0.25,1,0.3333333333333333
0.26,1,0.35135135135135137
0.27,1,0.36986301369863017
0.28,1,0.38888888888888895
0.29,1,0.4084507042253521
0.3,1,0.4285714285714286
0.31,1,0.44927536231884063
0.32,1,0.4705882352941177
0.33,1,0.4925373134328359
0.34,1,0.5151515151515152
0.35,1,0.5384615384615384
0.36,1,0.5625
0.37,1,0.5873015873015873
0.38,1,0.6129032258064516
0.39,1,0.639344262295082
0.4,1,0.6666666666666667
0.41,1,0.694915254237288
0.42,1,0.7241379310344827
0.43,1,0.7543859649122806
0.44,1,0.7857142857142857
0.45,1,0.8181818181818181
0.46,1,0.8518518518518519
0.47,1,0.8867924528301886
0.48,1,0.923076923076923
0.49,1,0.9607843137254901
0.5,1,1.0
0.51,1,1.0408163265306123
0.52,1,1.0833333333333335
0.53,1,1.1276595744680853
0.54,1,1.173913043478261
0.55,1,1.2222222222222225
0.56,1,1.272727272727273
0.57,1,1.325581395348837
0.58,1,1.3809523809523807
0.59,1,1.4390243902439022
0.6,1,1.4999999999999998
0.61,1,1.564102564102564
0.62,1,1.631578947368421
0.63,1,1.7027027027027026
0.64,1,1.777777777777778
0.65,1,1.8571428571428574
0.66,1,1.9411764705882355
0.67,1,2.0303030303030307
0.68,1,2.1250000000000004
0.69,1,2.2258064516129026
0.7,1,2.333333333333333
0.71,1,2.4482758620689653
0.72,1,2.571428571428571
0.73,1,2.7037037037037033
0.74,1,2.846153846153846
0.75,1,3.0
0.76,1,3.166666666666667
0.77,1,3.347826086956522
0.78,1,3.545454545454546
0.79,1,3.7619047619047628
0.8,1,4.000000000000001
0.81,1,4.263157894736843
0.82,1,4.5555555555555545
0.83,1,4.882352941176469
0.84,1,5.249999999999999
0.85,1,5.666666666666666
0.86,1,6.142857142857142
0.87,1,6.692307692307692
0.88,1,7.333333333333334
0.89,1,8.090909090909092
0.9,1,9.000000000000002
0.91,1,10.111111111111114
0.92,1,11.500000000000007
0.93,1,13.285714285714295
0.94,1,15.666666666666652
0.95,1,18.999999999999982
0.01,4,0.025252525252525256
0.02,4,0.05102040816326531
0.03,4,0.07731958762886598
0.04,4,0.10416666666666667
0.05,4,0.13157894736842105
0.06,4,0.1595744680851064
0.07,4,0.18817204301075272
0.08,4,0.21739130434782608
0.09,4,0.2472527472527472
0.1,4,0.2777777777777778
0.11,4,0.30898876404494385
0.12,4,0.3409090909090909
0.13,4,0.3735632183908046
0.14,4,0.40697674418604657
0.15,4,0.4411764705882353
0.16,4,0.4761904761904762
0.17,4,0.5120481927710844
0.18,4,0.548780487804878
0.19,4,0.5864197530864197
0.2,4,0.625
0.21,4,0.6645569620253164
0.22,4,0.7051282051282052
0.23,4,0.7467532467532468
0.24,4,0.7894736842105263
0.25,4,0.8333333333333334
0.26,4,0.8783783783783784
0.27,4,0.9246575342465754
0.28,4,0.9722222222222223
0.29,4,1.0211267605633803
0.3,4,1.0714285714285714
0.31,4,1.1231884057971016
0.32,4,1.1764705882352944
0.33,4,1.2313432835820899
0.34,4,1.287878787878788
0.35,4,1.346153846153846
0.36,4,1.4062499999999998
0.37,4,1.4682539682539684
0.38,4,1.532258064516129
0.39,4,1.598360655737705
0.4,4,1.6666666666666667
0.41,4,1.73728813559322
0.42,4,1.8103448275862069
0.43,4,1.8859649122807014
0.44,4,1.9642857142857142
0.45,4,2.0454545454545454
0.46,4,2.1296296296296298
0.47,4,2.216981132075471
0.48,4,2.3076923076923075
0.49,4,2.401960784313726
0.5,4,2.5
0.51,4,2.6020408163265305
0.52,4,2.7083333333333335
0.53,4,2.819148936170213
0.54,4,2.9347826086956528
0.55,4,3.055555555555556
0.56,4,3.1818181818181825
0.57,4,3.3139534883720922
0.58,4,3.452380952380952
0.59,4,3.5975609756097553
0.6,4,3.75
0.61,4,3.9102564102564097
0.62,4,4.078947368421053
0.63,4,4.256756756756757
0.64,4,4.444444444444445
0.65,4,4.642857142857143
0.66,4,4.852941176470589
0.67,4,5.075757575757576
0.68,4,5.312500000000002
0.69,4,5.564516129032257
0.7,4,5.833333333333332
0.71,4,6.120689655172413
0.72,4,6.428571428571427
0.73,4,6.759259259259259
0.74,4,7.115384615384616
0.75,4,7.5
0.76,4,7.916666666666667
0.77,4,8.369565217391305
0.78,4,8.863636363636365
0.79,4,9.404761904761907
0.8,4,10.000000000000002
0.81,4,10.65789473684211
0.82,4,11.388888888888884
0.83,4,12.205882352941172
0.84,4,13.124999999999998
0.85,4,14.166666666666664
0.86,4,15.357142857142856
0.87,4,16.73076923076923
0.88,4,18.333333333333336
0.89,4,20.22727272727273
0.9,4,22.500000000000004
0.91,4,25.277777777777786
0.92,4,28.750000000000018
0.93,4,33.21428571428574
0.94,4,39.16666666666663
0.95,4,47.49999999999996
